minutes,v1,v2,v3,v4,v5,v6,v7,v8
7200,0,0.04635700453295437,110.502822537,112.82610142545852,0.2689453125,0.7844628952953465,216.03902181,213.96113864063784
7260,0,0.05632643316949498,110.140564779,112.84375405714637,0.269567871094,0.7120300838835747,216.000106608,214.48175757384533
7320,0,0.06563733269765253,110.224174805,112.85926772890117,0.266247558594,0.6383069726793518,215.091046549,214.97895224782187
8100,0,0.07585467936230655,110.74396186,112.68722151724337,0.273718261719,-0.2368759901297824,223.726852214,218.65488689799847
8160,0,0.06428473810856936,113.894404026,112.6317876673684,0.264379882813,-0.2823629682839739,216.794211426,218.67507325664985
8220,0,0.050884134045412574,113.600074327,112.57025364390725,0.26064453125,-0.32252591335285186,212.181047363,218.6640890433071
8280,0,0.03604683188221625,111.609418945,112.50416834368563,0.27392578125,-0.35692386981123203,222.072803548,218.63437220740676
8340,0,0.02016679632836068,112.040726454,112.43508066352932,0.280773925781,-0.38511588213393044,219.241394043,218.59836069838576
8400,0,0.0036379920932259275,112.195007867,112.36453950026403,0.260437011719,-0.40666099479576256,215.738717448,218.5684924656807
8460,0,-0.013145616113807941,113.036033257,112.29409375071542,0.276208496094,-0.4211182522715431,220.393485514,218.55720545872833
8520,0,-0.029790063583360907,113.763968913,112.22529231170928,0.275170898437,-0.42804669903608894,216.972504883,218.5749431598049
8580,0,-0.045901385606052635,113.207434896,112.15968408007132,0.268530273438,-0.42700537956421514,219.809506022,218.6241711825441
8640,0,-0.06108561747250321,111.781111925,112.09881795262724,0.269152832031,-0.4175533383307375,221.235904948,218.7053606734191
8700,0,-0.07494879447333236,112.616621636,112.0442428262028,0.325805664062,-0.3992496198104718,214.04888916,218.8189827789031
8760,0,-0.0870969518991601,110.825455187,111.99750759762374,0.270397949219,-0.3716532684782339,222.384457194,218.96550864546919
9540,0,0.09029772565816327,112.580572374,112.80812838572665,0.256079101563,1.033363648689243,225.248112793,224.07895881459586
9600,0,0.1375142320916602,113.970805935,113.02854124144945,0.282434082031,1.2311283271741853,221.054984538,224.6731439757086
9660,0,0.15628380068721498,112.674841851,113.2485595339994,0.270190429688,1.4074267971932597,224.653055827,224.93251765328404
9720,0,0.11092896810056248,111.723145616,113.4382642467981,0.258154296875,1.525326840116041,227.482231445,224.48276855207828
9780,0,-0.01619267013438851,113.525759277,113.56773636326729,0.285961914062,1.54789623731211,221.663989258,223.1115484264102
9840,0,-0.170583282971033,113.232825521,113.60705686682853,0.282434082031,1.4382027701510416,221.925043132,221.25436122884784
9900,0,-0.2797099804845921,113.311181098,113.52630674090351,0.284094238281,1.1593142200024136,219.616977539,219.50867396152188
9960,0,-0.2863430192441151,113.182800836,113.30530371105687,0.282019042969,0.6869564183653695,220.987884928,218.35686609150895
10020,0,-0.19446524179396404,113.903806152,112.96281247142502,0.359631347656,0.04748739725730762,216.45547526,217.82096694566866
10080,0,-0.023362637172329368,114.255320638,112.52733445828737,0.347387695313,-0.7200767611748102,214.842833659,217.80791831580646
10140,0,0.20767880558259894,111.507016602,112.02737110792334,0.297998046875,-1.57671997478402,219.681955566,218.2246619937279
10200,0,0.4793730974326302,111.452671984,111.49142385661233,0.27060546875,-2.483426161423359,219.174448242,218.9781397712386
10980,0,-1.0643168532391662,113.053513455,114.2177281105263,0.251721191406,-1.0740197566083154,218.904717611,217.07466921300278
11040,0,1.5824058292854732,115.061110569,115.73378784681108,0.298620605469,1.4010708983367037,211.69032959,213.78192156259317
11100,0,-1.3037042205450167,115.139813911,115.02016997543231,0.417736816406,4.327278843906303,213.506629232,215.49368911836754
11160,0,0.9916094816778767,114.870269097,109.48416068176155,0.293432617188,7.659559193697701,211.146308594,208.93580064896926
11220,255,255.2963064686594,95.9102042643,98.4774158747509,12.633996582,11.226509427176655,135.81633138,131.92906640638037
11280,255,252.6228943228768,84.975659451,89.12907035767347,24.2889160156,14.35129648728302,28.9226025391,33.955872418632566
11340,3,7.106512774159128,88.9333992513,87.22412880655432,24.1901367188,16.230729682825174,25.8368806966,28.961089911802
11400,200,195.50248577371246,87.4132137044,87.16859760928692,11.0192871094,16.30453401215723,91.9080175781,82.15127808156195
11460,1,4.546608371292034,89.0366501194,87.17998776366431,10.6988769531,14.984097231816104,89.1403181966,95.87433167389722
11520,15,12.991880461504456,86.879676378,87.25081138266151,10.8092773438,12.923722787884467,91.2991902669,91.80476239754232
11580,0,0.7339106236493507,86.857879503,87.37358057925357,10.5890991211,10.680683370394084,93.6341935221,90.56979811064646
11640,0,-0.1279501903371738,87.3898003472,87.54080746641547,10.7044799805,8.42412864517325,92.5815299479,93.78874704795943
12420,3,3.000023923849622,90.3621223958,90.35341824501619,10.6571655273,10.673128162554185,87.715559082,87.71368965512497
